puzzle_id,label,row_hints,col_hints,num_solutions,json_file_path
100,6,"[[], [], [2], [2], [3], [2], [2], [1], [1], [2], [2, 3], [2, 2], [1, 1, 1], [1, 2, 1], [6], [5], [], [], [], []]","[[], [], [], [], [], [4], [1, 2], [2, 3], [2, 3], [2, 2, 2], [1, 1, 1], [2], [2, 1], [1, 1, 1], [2, 3], [2, 1], [], [], [], []]",9,./mnist_nonograms\mnist_puzzle_100.json
1001,3,"[[], [], [], [4], [1, 1], [], [1], [1], [2, 1], [1], [2], [1], [1, 1], [1, 1], [2], [1, 1], [4], [], [], []]","[[], [], [], [], [1], [1, 2], [1, 1], [1, 1], [1, 1], [1], [1, 1, 1], [2, 2, 1], [1, 1], [1], [4], [1], [], [], [], []]",1000,./mnist_nonograms\mnist_puzzle_1001.json
1007,0,"[[], [], [], [], [3], [2, 1], [4, 1], [5, 1], [3, 1], [1, 1, 1], [2, 2, 2], [1, 2, 1], [1, 1], [1, 1, 2], [1, 1], [1, 2], [5], [3], [], []]","[[], [], [], [3], [2, 1], [2, 2], [1, 2], [2, 2], [2, 1], [2, 2, 1], [8, 1], [2, 1], [2, 1], [2, 2], [1, 2], [1, 2], [3], [], [], []]",116,./mnist_nonograms\mnist_puzzle_1007.json
1008,5,"[[], [], [2], [2, 1], [1], [1], [1], [1], [1], [2, 2], [2], [1], [1], [1], [5, 2], [1, 5], [], [], [], []]","[[], [], [], [], [], [], [2], [1], [4, 1], [3, 1, 2], [2, 2], [1, 2, 1], [1, 2, 2], [5], [], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1008.json
1010,6,"[[], [], [1], [2], [2], [1], [2], [2], [1], [1], [1], [4], [1, 1], [2, 2], [1, 2], [5], [], [], [], []]","[[], [], [], [], [], [], [1], [5], [3, 1], [3, 1, 1], [2, 1, 1], [2, 4], [2, 2], [2], [], [], [], [], [], []]",4,./mnist_nonograms\mnist_puzzle_1010.json
1015,7,"[[], [], [], [], [], [1], [7], [7], [3, 2], [3, 2], [2, 2], [1], [1], [1], [1], [1], [1], [2], [2], []]","[[], [], [], [], [2], [5], [5], [3], [2], [2], [2], [3], [3, 2], [10], [], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1015.json
1017,4,"[[], [], [], [], [2], [2], [2], [2, 1], [2, 1], [1, 3], [2, 2], [11], [2, 6], [2], [1], [1], [], [], [], []]","[[], [], [], [], [2], [3], [3], [2, 1], [2, 1, 2], [3], [3], [4], [4], [2, 2], [2, 2], [2], [2], [1], [], []]",3,./mnist_nonograms\mnist_puzzle_1017.json
1018,5,"[[], [], [], [], [], [], [6], [10], [5], [1], [1, 2], [1], [2], [2], [7], [], [], [], [], []]","[[], [], [], [], [1], [1], [3, 1], [1, 1], [2, 1], [2, 1], [2, 1], [1, 1, 1], [2, 1, 2], [2, 2], [2], [2], [2], [2], [], []]",3,./mnist_nonograms\mnist_puzzle_1018.json
102,4,"[[], [], [], [], [1], [2], [2, 2], [2, 2], [1, 1], [8], [8], [2], [2], [2], [2], [2], [], [1], [1], []]","[[], [], [], [], [], [], [5], [2, 2], [2, 2], [2, 2], [2, 3], [5], [4], [2], [3], [3], [2], [], [], []]",2,./mnist_nonograms\mnist_puzzle_102.json
1023,0,"[[], [], [], [], [], [2], [4], [2, 5], [2, 7], [2, 2, 1], [2, 1], [1, 1], [1, 2], [1, 1], [1, 2], [1, 3], [], [], [], []]","[[], [], [], [3], [4], [3], [3], [2, 1], [1, 1], [4], [1, 2], [2, 1], [2, 1], [2, 2], [1, 1], [2, 2], [3], [], [], []]",3,./mnist_nonograms\mnist_puzzle_1023.json
1024,8,"[[], [], [2], [1], [1], [2, 1], [1, 1], [1, 1], [1, 2], [3], [2], [5], [2, 1], [1], [1, 2], [6], [], [], [], []]","[[], [], [], [], [], [3], [2, 1], [2, 1], [3, 1, 1], [1, 3, 2], [1, 4, 2], [1], [1], [2], [1, 1], [4], [], [], [], []]",33,./mnist_nonograms\mnist_puzzle_1024.json
1025,9,"[[], [], [], [], [], [4], [1, 1], [1, 1], [1, 2], [1, 3], [4], [], [1], [1], [1], [1], [], [1], [1], []]","[[], [], [], [], [], [], [], [], [5, 2], [1, 1, 2], [1, 2, 2], [1, 2], [1, 2], [3], [], [], [], [], [], []]",6,./mnist_nonograms\mnist_puzzle_1025.json
