puzzle_id,label,row_hints,col_hints,num_solutions,solving_time_sec
0,3,"[[], [], [3], [1, 1], [1], [1], [4], [1, 1], [2], [1], [1], [1, 2], [3], [], []]","[[], [], [], [1], [1], [1, 1], [1, 2, 1], [1, 1, 1], [1, 1, 1], [8], [1], [], [], [], []]",15,0.04954338073730469
1,2,"[[], [1], [1], [], [], [], [1], [1], [1], [1, 3], [1, 3], [1], [], [], []]","[[], [], [], [], [2], [2, 1], [2], [2], [2], [2, 1], [], [], [], [], []]",7,0.025530338287353516
10,4,"[[], [], [], [1], [2, 2], [2, 2], [2, 2], [10], [8], [2], [1], [1], [2], [], []]","[[], [], [], [1], [4], [5], [2, 2], [2], [6], [9], [2, 1], [2], [1], [], []]",1,0.03127574920654297
100,4,"[[], [], [], [1, 1], [1, 2], [1, 1], [1, 1], [1, 1], [6], [6], [2], [2], [2], [], []]","[[], [], [], [], [], [7], [2], [5], [6], [3, 2], [2, 2], [], [], [], []]",1,0.03638577461242676
1000,8,"[[], [], [], [4], [2, 1], [1, 1], [2, 4], [6], [1, 1], [1], [1], [1], [4], [], []]","[[], [], [], [2], [1, 1], [1, 1], [1, 4, 1], [1, 2, 1], [1, 2, 1], [1, 3, 1], [1, 2, 2], [], [], [], []]",1,0.06349658966064453
1001,1,"[[], [], [2], [3], [3], [2], [3], [2], [2], [3], [3], [2], [1], [], []]","[[], [], [], [], [], [], [4], [10], [9], [2, 1], [], [], [], [], []]",1,0.02436685562133789
1002,1,"[[], [], [2], [2], [2], [2], [2], [2], [2], [1], [3], [3], [1], [], []]","[[], [], [], [], [], [], [2], [11], [7, 2], [], [], [], [], [], []]",1,0.01844167709350586
1003,2,"[[], [], [2], [2, 1], [1], [1], [1], [1], [4], [6], [1, 2, 1], [2, 1], [1], [], []]","[[], [], [], [], [4], [1, 1], [3], [1, 3], [1, 2], [1, 4], [4, 2], [], [], [], []]",1,0.0447847843170166
1004,3,"[[], [], [], [3], [8], [2], [4], [3], [3], [3], [2], [2], [3], [2], []]","[[], [], [], [1], [2], [2, 1], [2, 2, 2], [1, 4, 1], [1, 4, 2], [3, 3], [3, 1], [], [], [], []]",1,0.04974937438964844
1005,0,"[[], [], [2], [5], [2, 1], [1, 1], [2, 1], [2, 1], [1, 1], [1, 1], [1, 2], [4], [2], [], []]","[[], [], [], [], [], [7], [5, 2], [2, 1], [2, 2], [2, 2], [6], [], [], [], []]",1,0.050110816955566406
1006,8,"[[], [], [], [3], [3, 1], [1, 2], [1, 2], [4], [3], [3], [4], [4], [3], [], []]","[[], [], [], [], [], [4], [1, 6], [2, 6], [1, 7], [1, 2, 2], [2], [], [], [], []]",1,0.043847084045410156
1007,4,"[[], [], [], [1], [2], [1], [2, 4, 1], [10], [3, 2], [1, 2], [2], [1], [], [], []]","[[], [], [3], [3], [5], [2, 1], [2], [2], [2], [2], [2], [6], [2], [], []]",1,0.036473989486694336
1008,6,"[[], [], [2], [2], [2], [2], [1], [2, 2], [1, 4], [3, 1], [2, 1], [4], [], [], []]","[[], [], [], [], [3], [3, 2], [2, 3], [2, 2, 1], [2, 2, 1], [1, 1, 1], [1, 1], [1], [], [], []]",2,0.06383442878723145
1009,0,"[[], [], [], [6], [8], [5, 2], [2, 2], [2, 2], [2, 2], [1, 2], [1, 3], [8], [7], [], []]","[[], [], [], [7], [4, 2], [2, 2], [3, 2], [3, 2], [3, 2], [2, 3], [2, 2], [8], [6], [], []]",1,0.059179067611694336
101,3,"[[], [], [4], [4], [1], [3], [4], [2], [3], [4], [1], [4], [2], [], []]","[[], [], [], [], [2, 1], [3, 2], [1, 1, 2, 1], [2, 1, 1, 1], [2, 2, 1, 1], [2, 1, 2], [3], [], [], [], []]",1,0.06085348129272461
1010,5,"[[], [], [], [5], [1, 4], [1], [1], [2], [2], [2], [2], [2], [1, 2], [3], []]","[[], [], [], [], [1, 1], [1, 2, 1], [1, 3, 1], [1, 5], [1, 3], [2], [2], [2], [1], [], []]",5,0.051072120666503906
1011,3,"[[], [], [4], [5], [1], [5], [4, 2], [2], [2], [4], [2, 3], [6], [1], [], []]","[[], [], [], [1], [1, 3], [1, 2], [2, 1, 1], [2, 2, 3], [2, 1, 3], [2, 6], [7], [1], [], [], []]",2,0.058019161224365234
1012,3,"[[], [], [3], [5], [7], [3, 2], [3], [4], [4], [3], [4, 2], [9], [2], [], []]","[[], [], [], [2], [2, 2], [4, 2], [4, 2], [3, 2, 1], [2, 2, 2], [7, 2], [8], [1, 3], [], [], []]",1,0.052377939224243164
1013,0,"[[], [], [], [6], [7], [3, 2], [2, 1], [2, 2], [2, 2], [1, 2], [2, 2], [2, 3], [4], [], []]","[[], [], [], [4], [8], [3, 2], [2, 2], [2, 1], [2, 1], [2, 2], [2, 2], [7], [3], [], []]",1,0.06217074394226074
1014,1,"[[], [], [2], [2], [2], [2], [3], [2], [2], [2], [2], [2], [1], [], []]","[[], [], [], [], [], [2], [5], [6], [6], [3], [], [], [], [], []]",1,0.021749496459960938
1015,1,"[[], [], [1], [2], [1], [2], [2], [3], [2], [2], [1], [2], [1], [], []]","[[], [], [], [], [2], [3], [3], [3], [3], [3], [2], [], [], [], []]",2,0.0205996036529541
1016,7,"[[], [], [], [5], [1], [], [], [4], [4], [1], [2], [2], [1], [], []]","[[], [], [], [], [1], [1], [1], [1, 1, 3], [2, 5], [2], [2], [1], [], [], []]",2,0.026133060455322266
1017,2,"[[], [], [2], [3], [3], [1], [1], [1], [1], [6], [5], [3], [], [], []]","[[], [], [], [], [2], [3], [1, 3], [3, 2], [3, 2], [1, 1], [5], [], [], [], []]",2,0.03142118453979492
1018,8,"[[], [], [2], [1, 1], [4], [2], [3], [1, 1], [2, 1], [1], [1, 1], [4], [2], [], []]","[[], [], [], [], [], [3], [3, 1], [5, 2], [1, 5, 2], [2, 2], [1], [], [], [], []]",2,0.046143531799316406
1019,5,"[[], [], [1], [5], [1], [2], [2], [6], [2, 1], [1, 1], [1], [2], [3], [], []]","[[], [], [], [], [2], [7], [1, 2, 1], [1, 1, 1], [1, 1, 2], [2, 1, 1], [4], [], [], [], []]",1,0.05059671401977539
102,0,"[[], [], [], [4], [1, 5], [1, 2], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 2], [2, 4], [], []]","[[], [], [], [6], [1, 1], [1, 1], [1], [2, 1], [2, 1], [2, 1], [1, 2], [2, 1], [6], [], []]",5,0.07596707344055176
1020,1,"[[], [], [2], [2], [2], [2], [2], [2], [2], [2], [2], [2], [1], [], []]","[[], [], [], [], [], [], [4], [10], [7], [], [], [], [], [], []]",2,0.0181882381439209
1021,1,"[[], [], [], [1], [1], [1], [2], [2], [1], [2], [1], [1], [1], [], []]","[[], [], [], [], [], [1], [3], [4], [4], [1], [], [], [], [], []]",8,0.021554231643676758
1022,2,"[[], [], [], [5], [8], [3, 2], [1, 2], [3], [3], [6], [10], [4, 1], [], [], []]","[[], [], [], [2, 1], [3, 1], [2, 3], [2, 3], [2, 5], [2, 5], [8], [4, 3], [1], [1], [], []]",1,0.04685044288635254
1023,9,"[[], [], [], [3], [4], [2, 1], [1, 4], [5], [2], [2], [2], [3], [2], [1], []]","[[], [], [], [], [], [3], [2, 1, 3], [2, 2, 4], [2, 6], [2, 3], [2], [], [], [], []]",1,0.04122281074523926
1024,3,"[[], [], [], [4], [1], [1], [1], [4], [2, 2], [1], [1], [2], [3], [], []]","[[], [], [], [], [], [1, 2, 1], [1, 2, 1], [1, 1, 2], [1, 3, 1], [2, 3], [], [], [], [], []]",2,0.045821428298950195
1025,0,"[[], [], [], [3], [6], [4, 3], [3, 2], [3, 2], [2, 2], [2, 2], [2, 4], [6], [1], [], []]","[[], [], [], [5], [6], [3, 1], [2, 2], [2, 2], [3, 2], [2, 1], [3, 2], [6], [5], [], []]",1,0.05685114860534668
1026,3,"[[], [], [], [4], [3, 1], [2], [2], [1], [1], [1], [1], [2], [2], [3], []]","[[], [], [], [1], [1, 1], [1, 1], [1, 2, 1], [1, 1, 1], [1, 1, 2], [1, 1, 1], [1, 1], [2], [], [], []]",1000,0.36800527572631836
1027,2,"[[], [], [3], [6], [2], [2], [2], [9], [8], [2, 3], [7], [3, 2], [2], [], []]","[[], [], [], [3], [4], [1, 2, 2], [2, 2, 2], [2, 2, 2], [2, 4], [2, 4], [10], [3, 2], [], [], []]",1,0.05189013481140137
1028,0,"[[], [], [1], [3], [6], [2, 1], [1, 2], [1, 2], [1, 2], [1, 1], [1, 2], [5], [3], [], []]","[[], [], [], [], [], [8], [3, 2], [3, 2], [2, 2], [1, 2], [7], [3], [], [], []]",1,0.047354936599731445
1029,5,"[[], [], [], [], [8], [3], [1], [4], [3], [2], [2], [6], [], [], []]","[[], [], [], [1], [1, 1], [4, 1], [2, 1, 1], [1, 2, 1], [1, 2, 1], [1, 3], [1, 2], [1], [1], [], []]",1,0.0447850227355957
103,2,"[[], [], [4], [7], [3, 3], [1, 2], [1, 2], [8], [9], [3, 3], [2, 6], [6, 1], [2], [], []]","[[], [], [1], [3, 3], [2, 5], [2, 3, 2], [2, 2, 2], [2, 3, 2], [2, 2, 2], [2, 5], [7], [8], [1], [], []]",2,0.08458232879638672
1030,5,"[[], [], [], [6], [6], [2], [4], [5], [2, 3], [1], [1], [3, 3], [6], [], []]","[[], [], [], [1], [1, 2], [5, 2], [6, 1], [2, 2, 1], [2, 3, 2], [2, 2, 2], [1, 4], [1], [], [], []]",1,0.057801008224487305
