puzzle_id,num_solutions,json_file_path,iteration_used,time_spent,final_hamming_distance,success,refined_json_path,refined_img_path
0,4,./mnist_nonograms\mnist_puzzle_0.json,8,4.129732370376587,2,True,./Greedy_refined_jsons\0_refined.json,./Greedy_refined_images\puzzle_0_comparison.png
1,2,./mnist_nonograms\mnist_puzzle_1.json,2,1.6754224300384521,1,True,./Greedy_refined_jsons\1_refined.json,./Greedy_refined_images\puzzle_1_comparison.png
1009,4,./mnist_nonograms\mnist_puzzle_1009.json,5,2.091550827026367,1,True,./Greedy_refined_jsons\1009_refined.json,./Greedy_refined_images\puzzle_1009_comparison.png
1010,2,./mnist_nonograms\mnist_puzzle_1010.json,2,1.2185688018798828,1,True,./Greedy_refined_jsons\1010_refined.json,./Greedy_refined_images\puzzle_1010_comparison.png
1016,2,./mnist_nonograms\mnist_puzzle_1016.json,2,0.44747424125671387,1,True,./Greedy_refined_jsons\1016_refined.json,./Greedy_refined_images\puzzle_1016_comparison.png
1018,2,./mnist_nonograms\mnist_puzzle_1018.json,2,0.22310900688171387,1,True,./Greedy_refined_jsons\1018_refined.json,./Greedy_refined_images\puzzle_1018_comparison.png
1023,2,./mnist_nonograms\mnist_puzzle_1023.json,2,1.328294277191162,1,True,./Greedy_refined_jsons\1023_refined.json,./Greedy_refined_images\puzzle_1023_comparison.png
1027,2,./mnist_nonograms\mnist_puzzle_1027.json,2,0.7127740383148193,1,True,./Greedy_refined_jsons\1027_refined.json,./Greedy_refined_images\puzzle_1027_comparison.png
103,2,./mnist_nonograms\mnist_puzzle_103.json,2,0.5537757873535156,1,True,./Greedy_refined_jsons\103_refined.json,./Greedy_refined_images\puzzle_103_comparison.png
1030,2,./mnist_nonograms\mnist_puzzle_1030.json,2,0.7084863185882568,1,True,./Greedy_refined_jsons\1030_refined.json,./Greedy_refined_images\puzzle_1030_comparison.png
1038,2,./mnist_nonograms\mnist_puzzle_1038.json,2,1.1301307678222656,1,True,./Greedy_refined_jsons\1038_refined.json,./Greedy_refined_images\puzzle_1038_comparison.png
1042,2,./mnist_nonograms\mnist_puzzle_1042.json,6,3.084129571914673,1,True,./Greedy_refined_jsons\1042_refined.json,./Greedy_refined_images\puzzle_1042_comparison.png
106,2,./mnist_nonograms\mnist_puzzle_106.json,2,1.1974372863769531,1,True,./Greedy_refined_jsons\106_refined.json,./Greedy_refined_images\puzzle_106_comparison.png
1072,1000,./mnist_nonograms\mnist_puzzle_1072.json,50,43.628291845321655,4,False,./Greedy_refined_jsons\1072_refined.json,./Greedy_refined_images\puzzle_1072_comparison.png
1073,4,./mnist_nonograms\mnist_puzzle_1073.json,3,1.9009654521942139,2,True,./Greedy_refined_jsons\1073_refined.json,./Greedy_refined_images\puzzle_1073_comparison.png
1080,2,./mnist_nonograms\mnist_puzzle_1080.json,2,1.3189153671264648,1,True,./Greedy_refined_jsons\1080_refined.json,./Greedy_refined_images\puzzle_1080_comparison.png
1082,2,./mnist_nonograms\mnist_puzzle_1082.json,2,0.20647764205932617,1,True,./Greedy_refined_jsons\1082_refined.json,./Greedy_refined_images\puzzle_1082_comparison.png
1101,2,./mnist_nonograms\mnist_puzzle_1101.json,2,1.2283668518066406,1,True,./Greedy_refined_jsons\1101_refined.json,./Greedy_refined_images\puzzle_1101_comparison.png
1108,3,./mnist_nonograms\mnist_puzzle_1108.json,3,2.3201558589935303,2,True,./Greedy_refined_jsons\1108_refined.json,./Greedy_refined_images\puzzle_1108_comparison.png
111,2,./mnist_nonograms\mnist_puzzle_111.json,6,3.869652271270752,1,True,./Greedy_refined_jsons\111_refined.json,./Greedy_refined_images\puzzle_111_comparison.png
1117,2,./mnist_nonograms\mnist_puzzle_1117.json,2,1.2715959548950195,1,True,./Greedy_refined_jsons\1117_refined.json,./Greedy_refined_images\puzzle_1117_comparison.png
1132,2,./mnist_nonograms\mnist_puzzle_1132.json,2,1.270885944366455,1,True,./Greedy_refined_jsons\1132_refined.json,./Greedy_refined_images\puzzle_1132_comparison.png
1137,2,./mnist_nonograms\mnist_puzzle_1137.json,3,1.030292272567749,1,True,./Greedy_refined_jsons\1137_refined.json,./Greedy_refined_images\puzzle_1137_comparison.png
1159,4,./mnist_nonograms\mnist_puzzle_1159.json,13,6.281943321228027,2,True,./Greedy_refined_jsons\1159_refined.json,./Greedy_refined_images\puzzle_1159_comparison.png
1164,2,./mnist_nonograms\mnist_puzzle_1164.json,3,1.1632063388824463,1,True,./Greedy_refined_jsons\1164_refined.json,./Greedy_refined_images\puzzle_1164_comparison.png
1170,73,./mnist_nonograms\mnist_puzzle_1170.json,11,12.78023624420166,3,True,./Greedy_refined_jsons\1170_refined.json,./Greedy_refined_images\puzzle_1170_comparison.png
1172,3,./mnist_nonograms\mnist_puzzle_1172.json,5,1.8675482273101807,2,True,./Greedy_refined_jsons\1172_refined.json,./Greedy_refined_images\puzzle_1172_comparison.png
1174,5,./mnist_nonograms\mnist_puzzle_1174.json,2,0.2390601634979248,1,True,./Greedy_refined_jsons\1174_refined.json,./Greedy_refined_images\puzzle_1174_comparison.png
